text,label
"This movie is amazing! I loved it.",positive
"Terrible experience, very disappointed.",negative
"It was okay, nothing special.",neutral
"Great product, highly recommend!",positive
"Worst service ever, avoid this place.",negative
"The food was decent, could be better.",neutral
"Excellent quality, worth every penny.",positive
"Poor quality, not worth buying.",negative
"Average product, meets expectations.",neutral
"Outstanding performance, exceeded expectations!",positive
"I really enjoyed this book, it was fantastic.",positive
"This was a complete waste of time.",negative
"The service was acceptable, nothing more.",neutral
"Amazing customer support, very helpful!",positive
"Horrible experience, would not recommend.",negative
"The product is fine, does the job.",neutral
"Best purchase I've made this year!",positive
"Very poor quality, broke after one use.",negative
"It's decent, gets the job done.",neutral
"Absolutely brilliant, exceeded all expectations!",positive
"This is the worst thing I've ever bought.",negative
"The quality is average, nothing special.",neutral
"I'm so happy with this purchase!",positive
"Completely useless, don't waste your money.",negative
"It's okay, I've seen better.",neutral
"Perfect! Exactly what I needed.",positive
"Terrible quality, very disappointed.",negative
"It's fine, nothing to complain about.",neutral
"Wonderful experience, highly satisfied!",positive
"Awful product, complete waste.",negative
